LOCATION,LAT,LONG,POPULATION
ARGENTINA/SANTA FE/LA CAPITAL/EMILIA,-31.059036181209397,-60.7449395894227,
ARGENTINA/SANTA FE/LA CAPITAL/LAGUNA PAIVA,-31.307283515802897,-60.6599857413255,
ARGENTINA/SANTA FE/LA CAPITAL/LLAMBI CAMPBELL,-31.1841665771092,-60.7477160528695,
ARGENTINA/SANTA FE/LA CAPITAL/MONTE VERA,-31.515489072201902,-60.6782933397416,
ARGENTINA/SANTA FE/LA CAPITAL/NELSON,-31.2657809827559,-60.764538615258296,
ARGENTINA/SANTA FE/LA CAPITAL/RECREO,-31.490859813993897,-60.735492544645204,
ARGENTINA/SANTA FE/LA CAPITAL/RINCON POTRERO,-31.5442692529524,-60.51231422099,
ARGENTINA/SANTA FE/LA CAPITAL/SAN JOSE DEL RINCON,-31.606458652470497,-60.5674550008564,
ARGENTINA/SANTA FE/LA CAPITAL/SANTA FE,-31.6244477760916,-60.698839780023796,
ARGENTINA/SANTA FE/LA CAPITAL/SANTO TOME,-31.662970063443197,-60.761801141433494,
ARGENTINA/SANTA FE/LA CAPITAL/SAUCE VIEJO,-31.7710726492983,-60.837176426578296,
ARGENTINA/SANTA FE/LAS COLONIAS/CAVOUR,-31.364777677719804,-61.016508607952396,
ARGENTINA/SANTA FE/LAS COLONIAS/CULULU,-31.2061382980265,-60.9299646011872,
ARGENTINA/SANTA FE/LAS COLONIAS/ELISA,-30.6957800556275,-61.0482834711285,
ARGENTINA/SANTA FE/LAS COLONIAS/EMPALME SAN CARLOS,-31.547751777092,-60.813654381855706,
ARGENTINA/SANTA FE/LAS COLONIAS/ESPERANZA,-31.4488251888843,-60.9302895690962,
ARGENTINA/SANTA FE/LAS COLONIAS/FELICIA,-31.2444170595229,-61.21214702746101,
ARGENTINA/SANTA FE/LAS COLONIAS/FRANCK,-31.5871430019304,-60.9383417939925,
ARGENTINA/SANTA FE/LAS COLONIAS/GRUTLY,-31.2681311713827,-61.0716775749664,
ARGENTINA/SANTA FE/LAS COLONIAS/HIPATIA,-31.1259049020783,-61.032668699819794,
ARGENTINA/SANTA FE/LAS COLONIAS/HUMBOLDT,-31.4008435170788,-61.08235818952029,
ARGENTINA/SANTA FE/LAS COLONIAS/LA PELADA,-30.8660498915556,-60.9683416804176,
ARGENTINA/SANTA FE/LAS COLONIAS/LAS TUNAS,-31.572006257732397,-60.9965289976526,
ARGENTINA/SANTA FE/LAS COLONIAS/MARIA LUISA,-31.010642843850302,-60.9107365777581,
ARGENTINA/SANTA FE/LAS COLONIAS/MATILDE,-31.791522407349895,-60.9800750675156,
ARGENTINA/SANTA FE/LAS COLONIAS/NUEVO TORINO,-31.3450513015999,-61.235081835229906,
ARGENTINA/SANTA FE/LAS COLONIAS/PILAR,-31.440411827182302,-61.2596699608025,
ARGENTINA/SANTA FE/LAS COLONIAS/PROGRESO,-31.1378236798785,-60.98957201779571,
ARGENTINA/SANTA FE/LAS COLONIAS/PROVIDENCIA,-30.982867180215397,-61.02118265844621,
ARGENTINA/SANTA FE/LAS COLONIAS/PUJATO NORTE,-31.520175102063998,-60.9285423456272,
ARGENTINA/SANTA FE/LAS COLONIAS/RIVADAVIA,-31.3242408482297,-61.05075880548921,
ARGENTINA/SANTA FE/LAS COLONIAS/SAN AGUSTIN,-31.682904188800997,-60.9406182112659,
ARGENTINA/SANTA FE/LAS COLONIAS/SAN CARLOS CENTRO,-31.7265822510746,-61.090770822883606,
ARGENTINA/SANTA FE/LAS COLONIAS/SAN CARLOS NORTE,-31.6725962793056,-61.074582557712205,
ARGENTINA/SANTA FE/LAS COLONIAS/SAN CARLOS SUD,-31.7608084364709,-61.10071527904589,
ARGENTINA/SANTA FE/LAS COLONIAS/SAN JERONIMO DEL SAUCE,-31.608927500403105,-61.1412472024407,
ARGENTINA/SANTA FE/LAS COLONIAS/SAN JERONIMO NORTE,-31.5526815927138,-61.0779142678842,
ARGENTINA/SANTA FE/LAS COLONIAS/SAN MARIANO,-31.6683602051408,-61.34725542973371,
ARGENTINA/SANTA FE/LAS COLONIAS/SANTA CLARA DE BUENA VISTA,-31.7623041980337,-61.3156744888705,
ARGENTINA/SANTA FE/LAS COLONIAS/SANTA MARIA CENTRO,-31.5213363401516,-61.3128619120187,
ARGENTINA/SANTA FE/LAS COLONIAS/SANTA MARIA NORTE,-31.5016783553303,-61.1366263465979,
ARGENTINA/SANTA FE/LAS COLONIAS/SANTO DOMINGO,-31.120427128386897,-60.8881105244454,
ARGENTINA/SANTA FE/LAS COLONIAS/SARMIENTO,-31.058582430672804,-61.167135747246704,
ARGENTINA/SANTA FE/LAS COLONIAS/SOUTOMAYOR,-30.9356681879423,-61.1651767420266,
ARGENTINA/SANTA FE/ROSARIO/ACEBAL,-33.2417207606926,-60.8365553438025,
ARGENTINA/SANTA FE/ROSARIO/ALBARELLOS,-33.2411590343082,-60.636223583046295,
ARGENTINA/SANTA FE/ROSARIO/ALVAREZ,-33.1296516845934,-60.80158226524261,
ARGENTINA/SANTA FE/ROSARIO/ALVEAR,-33.058097227129196,-60.618123072680795,
ARGENTINA/SANTA FE/ROSARIO/ARMINDA,-33.2638388028434,-60.966817503454706,
ARGENTINA/SANTA FE/ROSARIO/ARROYO SECO,-33.1562771451289,-60.5093889860201,
ARGENTINA/SANTA FE/ROSARIO/CARMEN DEL SAUCE,-33.235973270592105,-60.811709102228406,
ARGENTINA/SANTA FE/ROSARIO/CORONEL BOGADO,-33.3158262444222,-60.603002042544205,
ARGENTINA/SANTA FE/ROSARIO/CORONEL RODOLFO S. DOMINGUEZ,-33.1832461860827,-60.7193607181307,
ARGENTINA/SANTA FE/ROSARIO/FIGHIERA,-33.1937692522137,-60.46938454678579,
ARGENTINA/SANTA FE/ROSARIO/FUNES,-32.916020799639696,-60.811209996558105,
ARGENTINA/SANTA FE/ROSARIO/GENERAL LAGOS,-33.1098015171085,-60.56405174723721,
ARGENTINA/SANTA FE/ROSARIO/GRANADERO BAIGORRIA,-32.8613994541381,-60.701401687759294,
ARGENTINA/SANTA FE/ROSARIO/IBARLUCEA,-32.851869001809604,-60.7907099100656,
ARGENTINA/SANTA FE/ROSARIO/PEREZ,-32.9982788682695,-60.7687779628732,
ARGENTINA/SANTA FE/ROSARIO/PINERO,-33.1101363056718,-60.7954311489816,
ARGENTINA/SANTA FE/ROSARIO/PUEBLO ESTHER,-33.0750849907001,-60.5733326754531,
ARGENTINA/SANTA FE/ROSARIO/PUEBLO MUNOZ,-33.172026192672895,-60.8980925004955,
ARGENTINA/SANTA FE/ROSARIO/ROSARIO,-32.9581776022748,-60.666264034822795,
ARGENTINA/SANTA FE/ROSARIO/SOLDINI,-33.022264791413996,-60.7554621490602,
ARGENTINA/SANTA FE/ROSARIO/VILLA AMELIA,-33.1759073477375,-60.6666824213251,
ARGENTINA/SANTA FE/ROSARIO/VILLA GOBERNADOR GALVEZ,-33.0238200775839,-60.640608128941295,
ARGENTINA/SANTA FE/ROSARIO/ZAVALLA,-33.0216719712661,-60.879880974513505,
ARGENTINA/SANTA FE/SAN CRISTOBAL/AGUARA GRANDE,-30.116015105324998,-60.8908701857435,
ARGENTINA/SANTA FE/SAN CRISTOBAL/AMBROSETTI,-30.012953573910604,-61.5755177209725,
ARGENTINA/SANTA FE/SAN CRISTOBAL/ARRUFO,-30.232394100338002,-61.7279564079603,
ARGENTINA/SANTA FE/SAN CRISTOBAL/CAPIVARA,-30.4602272303054,-61.2712066957846,
ARGENTINA/SANTA FE/SAN CRISTOBAL/CERES,-29.883302051070103,-61.945823332652296,
ARGENTINA/SANTA FE/SAN CRISTOBAL/COLONIA ANA,-30.143701541529,-61.9136593990452,
ARGENTINA/SANTA FE/SAN CRISTOBAL/COLONIA BOSSI,-30.6683529777246,-61.78846602876679,
ARGENTINA/SANTA FE/SAN CRISTOBAL/COLONIA ROSA,-30.300682593083202,-61.9826463170366,
ARGENTINA/SANTA FE/SAN CRISTOBAL/CONSTANZA,-30.662036168297895,-61.3206383449662,
ARGENTINA/SANTA FE/SAN CRISTOBAL/HERSILIA,-30.0038704549013,-61.8388784954766,
ARGENTINA/SANTA FE/SAN CRISTOBAL/HUANQUEROS,-30.011910778991798,-61.2186079773183,
ARGENTINA/SANTA FE/SAN CRISTOBAL/LA CABRAL,-30.086786065795998,-61.17840898118361,
ARGENTINA/SANTA FE/SAN CRISTOBAL/LA LUCILA,-30.419774697347897,-61.00318329272329,
ARGENTINA/SANTA FE/SAN CRISTOBAL/LA RUBIA,-30.110115365529598,-61.7934871833392,
ARGENTINA/SANTA FE/SAN CRISTOBAL/LAS AVISPAS,-29.8931390124645,-61.2894163961487,
ARGENTINA/SANTA FE/SAN CRISTOBAL/LAS PALMERAS,-30.6301603110753,-61.6257556326126,
ARGENTINA/SANTA FE/SAN CRISTOBAL/MOISES VILLE,-30.7144621525702,-61.470541760435296,
ARGENTINA/SANTA FE/SAN CRISTOBAL/MONIGOTES,-30.4883665239821,-61.634197940080796,
ARGENTINA/SANTA FE/SAN CRISTOBAL/MONTE OSCURIDAD,-30.4414155114905,-62.102957743641205,
ARGENTINA/SANTA FE/SAN CRISTOBAL/NANDUCITA,-30.370729606340298,-61.1324647272546,
ARGENTINA/SANTA FE/SAN CRISTOBAL/PALACIOS,-30.7080224089183,-61.621867632015494,
ARGENTINA/SANTA FE/SAN CRISTOBAL/PORTUGALETE,-30.175980476150603,-61.28512007215421,
ARGENTINA/SANTA FE/SAN CRISTOBAL/SAN CRISTOBAL,-30.3102662201583,-61.2352988362004,
ARGENTINA/SANTA FE/SAN CRISTOBAL/SAN GUILLERMO,-30.3584241712542,-61.9173174037163,
ARGENTINA/SANTA FE/SAN CRISTOBAL/SANTURCE,-30.187945559527698,-61.18529910227329,
ARGENTINA/SANTA FE/SAN CRISTOBAL/SOLEDAD,-30.619484332961502,-60.9145122355208,
ARGENTINA/SANTA FE/SAN CRISTOBAL/SUARDI,-30.5343559734346,-61.961077175171006,
ARGENTINA/SANTA FE/SAN CRISTOBAL/VILLA SARALEGUI,-30.541459237456998,-60.7492379157909,
ARGENTINA/SANTA FE/SAN CRISTOBAL/VILLA TRINIDAD,-30.215822530215203,-61.8769808170704,
ARGENTINA/SANTA FE/SAN JAVIER/ALEJANDRA,-29.909408940362898,-59.8270260858918,
ARGENTINA/SANTA FE/SAN JAVIER/CACIQUE ARIACAIQUIN,-30.654854750381304,-60.2283458893361,
ARGENTINA/SANTA FE/SAN JAVIER/COLONIA DURAN,-29.560661515987803,-59.9263922449449,
ARGENTINA/SANTA FE/SAN JAVIER/COLONIA TERESA,-30.251388969953197,-59.9707088918412,
ARGENTINA/SANTA FE/SAN JAVIER/LA BRAVA,-30.445318166883503,-60.141153848310005,
ARGENTINA/SANTA FE/SAN JAVIER/ROMANG,-29.5025787760718,-59.7526045782446,
ARGENTINA/SANTA FE/SAN JAVIER/SAN JAVIER,-30.582089168867697,-59.9339760836444,
ARGENTINA/SANTA FE/SAN JERONIMO/AROCENA,-32.0777695119787,-60.973404062801706,
ARGENTINA/SANTA FE/SAN JERONIMO/BARRANCAS,-32.234336084893606,-60.9835839115771,
ARGENTINA/SANTA FE/SAN JERONIMO/BERNARDO DE IRIGOYEN,-32.1684827938933,-61.156876294095,
ARGENTINA/SANTA FE/SAN JERONIMO/CAMPO PIAGGIO,-31.9666615418929,-61.328649447846004,
ARGENTINA/SANTA FE/SAN JERONIMO/CASALEGNO,-32.263345284566306,-61.1257434722812,
ARGENTINA/SANTA FE/SAN JERONIMO/CENTENO,-32.2959772341255,-61.407336813971995,
ARGENTINA/SANTA FE/SAN JERONIMO/CORONDA,-31.974489090876197,-60.916112357900495,
ARGENTINA/SANTA FE/SAN JERONIMO/DESVIO ARIJON,-31.871765391735703,-60.88633738265389,
ARGENTINA/SANTA FE/SAN JERONIMO/DIAZ,-32.3722744216181,-61.089506545578296,
ARGENTINA/SANTA FE/SAN JERONIMO/GABOTO,-32.4324617335088,-60.8178616494627,
ARGENTINA/SANTA FE/SAN JERONIMO/GALVEZ,-32.029903161936005,-61.22435361225921,
ARGENTINA/SANTA FE/SAN JERONIMO/GESSLER,-31.8743299027313,-61.1268275485859,
ARGENTINA/SANTA FE/SAN JERONIMO/IRIGOYEN,-32.1576640479963,-61.10871702623079,
ARGENTINA/SANTA FE/SAN JERONIMO/LARRECHEA,-31.9341071096277,-61.049309871625795,
ARGENTINA/SANTA FE/SAN JERONIMO/LOMA ALTA,-31.9599213197539,-61.1767998089435,
ARGENTINA/SANTA FE/SAN JERONIMO/LOPEZ,-31.905003567403302,-61.281673580472706,
ARGENTINA/SANTA FE/SAN JERONIMO/MACIEL,-32.4567762201571,-60.8924286461948,
ARGENTINA/SANTA FE/SAN JERONIMO/MONJE,-32.3603147352081,-60.9428896806971,
ARGENTINA/SANTA FE/SAN JERONIMO/PUEBLO IRIGOYEN,-32.1576640479963,-61.10871702623079,
ARGENTINA/SANTA FE/SAN JERONIMO/SAN EUGENIO,-32.0761853759738,-61.115724016558,
ARGENTINA/SANTA FE/SAN JERONIMO/SAN FABIAN,-32.137982130099694,-60.9830519904231,
ARGENTINA/SANTA FE/SAN JERONIMO/SAN GENARO,-32.3715685095106,-61.35999062469689,
ARGENTINA/SANTA FE/SAN JUSTO/ANGELONI,-30.8569863433872,-60.649385157976205,
ARGENTINA/SANTA FE/SAN JUSTO/CAMPO LA PEPITA,-31.965424,-60.913846,
ARGENTINA/SANTA FE/SAN JUSTO/CAYASTACITO,-31.1128019628163,-60.5799829308033,
ARGENTINA/SANTA FE/SAN JUSTO/COLONIA DOLORES,-30.382369474558303,-60.3306623755451,
ARGENTINA/SANTA FE/SAN JUSTO/ESTHER,-31.041680128071498,-60.643650566147,
ARGENTINA/SANTA FE/SAN JUSTO/GOBERNADOR CRESPO,-30.3627041484189,-60.40161022035171,
ARGENTINA/SANTA FE/SAN JUSTO/LA CAMILA,-30.079397150050898,-60.5634511951515,
ARGENTINA/SANTA FE/SAN JUSTO/LA CRIOLLA,-30.2261004797363,-60.363921085315894,
ARGENTINA/SANTA FE/SAN JUSTO/MARCELINO ESCALADA,-30.5809345704529,-60.4684282715891,
ARGENTINA/SANTA FE/SAN JUSTO/NARE,-30.9511632210425,-60.4677847730901,
ARGENTINA/SANTA FE/SAN JUSTO/PEDRO GOMEZ CELLO,-30.037034708658,-60.31523997656011,
ARGENTINA/SANTA FE/SAN JUSTO/RAMAYON,-30.673517620609697,-60.500977840948,
ARGENTINA/SANTA FE/SAN JUSTO/SAN JUSTO,-30.7893802028885,-60.591840939709606,
ARGENTINA/SANTA FE/SAN JUSTO/SAN MARTIN NORTE,-30.3455534403436,-60.3036448772748,
ARGENTINA/SANTA FE/SAN JUSTO/SILVA,-30.449012058761397,-60.4308861875941,
ARGENTINA/SANTA FE/SAN JUSTO/VERA Y PINTADO,-30.142136351817197,-60.3387249890353,
ARGENTINA/SANTA FE/SAN JUSTO/VIDELA,-30.9447758049159,-60.656589800227,
ARGENTINA/SANTA FE/SAN LORENZO/ALDAO,-32.7044058849933,-60.815810348357296,
ARGENTINA/SANTA FE/SAN LORENZO/CAPITAN BERMUDEZ,-32.819332199675,-60.719703100068706,
ARGENTINA/SANTA FE/SAN LORENZO/CARCARANA,-32.857316960780004,-61.1518868483125,
ARGENTINA/SANTA FE/SAN LORENZO/CORONEL ARNOLD,-33.1052532166914,-60.9659292736491,
ARGENTINA/SANTA FE/SAN LORENZO/FRAY LUIS BELTRAN,-32.7903110151674,-60.7278066519309,
ARGENTINA/SANTA FE/SAN LORENZO/FUENTES,-33.172523843772105,-61.07423220655661,
ARGENTINA/SANTA FE/SAN LORENZO/LUIS PALACIOS,-32.7827770709149,-60.90550592550961,
ARGENTINA/SANTA FE/SAN LORENZO/PUERTO GENERAL SAN MARTIN,-32.7160656756848,-60.7313495579916,
ARGENTINA/SANTA FE/SAN LORENZO/PUJATO,-33.0164827498645,-61.0437605615198,
ARGENTINA/SANTA FE/SAN LORENZO/RICARDONE,-32.7729893790762,-60.7839359994775,
ARGENTINA/SANTA FE/SAN LORENZO/ROLDAN,-32.9001807475929,-60.9049276485643,
ARGENTINA/SANTA FE/SAN LORENZO/SAN JERONIMO SUD,-32.8789981439637,-61.0234150127674,
ARGENTINA/SANTA FE/SAN LORENZO/SAN LORENZO,-32.7444090539389,-60.7377849657457,
ARGENTINA/SANTA FE/SAN LORENZO/TIMBUES,-32.6677966607179,-60.793647250826396,
ARGENTINA/SANTA FE/SAN LORENZO/VILLA MUGUETA,-33.3129506649039,-61.053436871285804,
ARGENTINA/SANTA FE/SAN MARTIN/CANADA ROSQUIN,-32.0543780058874,-61.601975888681494,
ARGENTINA/SANTA FE/SAN MARTIN/CARLOS PELLEGRINI,-32.0503853514693,-61.7828939545905,
ARGENTINA/SANTA FE/SAN MARTIN/CASAS,-32.125788074252604,-61.5396713018434,
ARGENTINA/SANTA FE/SAN MARTIN/CASTELAR,-31.668426020744,-62.0902679781499,
ARGENTINA/SANTA FE/SAN MARTIN/COLONIA BELGRANO,-31.9093923029948,-61.4008454379659,
ARGENTINA/SANTA FE/SAN MARTIN/CRISPI,-31.739772816594,-62.037148137172096,
ARGENTINA/SANTA FE/SAN MARTIN/EL TREBOL,-32.1979249398943,-61.7020123943084,
ARGENTINA/SANTA FE/SAN MARTIN/LANDETA,-32.0126538140241,-62.0618982968427,
ARGENTINA/SANTA FE/SAN MARTIN/LAS BANDURRIAS,-32.197173419931396,-61.4915949462638,
ARGENTINA/SANTA FE/SAN MARTIN/LAS PETACAS,-31.820965263432804,-62.112120655023006,
ARGENTINA/SANTA FE/SAN MARTIN/LOS CARDOS,-32.3223677183051,-61.6314474239535,
ARGENTINA/SANTA FE/SAN MARTIN/MARIA SUSANA,-32.2668431762649,-61.905797533804595,
ARGENTINA/SANTA FE/SAN MARTIN/PIAMONTE,-32.1439438617607,-61.98019018249829,
ARGENTINA/SANTA FE/SAN MARTIN/SAN JORGE,-31.896111639748998,-61.8597058985602,
ARGENTINA/SANTA FE/SAN MARTIN/SAN MARTIN DE LAS ESCOBAS,-31.8573772321931,-61.5695019362257,
ARGENTINA/SANTA FE/SAN MARTIN/SASTRE,-31.7675066151857,-61.8288053199475,
ARGENTINA/SANTA FE/SAN MARTIN/TRAILL,-31.9213297599252,-61.7026780016741,
ARGENTINA/SANTA FE/VERA/CALCHAQUI,-29.8887701261796,-60.2844692096576,
ARGENTINA/SANTA FE/VERA/CANADA OMBU,-28.3092965426518,-59.9820339990242,
ARGENTINA/SANTA FE/VERA/FORTIN OLMOS,-29.0523894438723,-60.414399305085105,
ARGENTINA/SANTA FE/VERA/GARABATO,-28.954641821332803,-60.137937524059105,
ARGENTINA/SANTA FE/VERA/GOLONDRINA,-28.557218844718104,-60.024538095950206,
ARGENTINA/SANTA FE/VERA/INTIYACO,-28.675598495523502,-60.0721808616407,
ARGENTINA/SANTA FE/VERA/LA GALLARETA,-29.5851838089359,-60.3794876106019,
ARGENTINA/SANTA FE/VERA/LOS AMORES,-28.103118766065396,-59.97774948741839,
ARGENTINA/SANTA FE/VERA/MARGARITA,-29.6925772548335,-60.2521464990524,
ARGENTINA/SANTA FE/VERA/TARTAGAL,-28.6717824118982,-59.845568480573796,
ARGENTINA/SANTA FE/VERA/TOBA,-29.266189197920397,-60.1716523984052,
ARGENTINA/SANTA FE/VERA/VERA,-29.463665107086896,-60.2146363048765,
